school_name,moe_programme_desc
AHMAD IBRAHIM SECONDARY SCHOOL,ENHANCED MUSIC PROGRAMME
ANDERSON SECONDARY SCHOOL,ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS)
ANDERSON SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (MALAY)
ANDERSON SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (TAMIL)
ANGLICAN HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
ANGLO-CHINESE JUNIOR COLLEGE,MUSIC ELECTIVE PROGRAMME
ANGLO-CHINESE JUNIOR COLLEGE,DRAMA ELECTIVE PROGRAMME
ANGLO-CHINESE JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (ENGLISH)
ANGLO-CHINESE SCHOOL (INDEPENDENT),MUSIC ELECTIVE PROGRAMME
ANGLO-CHINESE SCHOOL (INDEPENDENT),REGIONAL STUDIES PROGRAMME
BUKIT PANJANG GOVT. HIGH SCHOOL,ART ELECTIVE PROGRAMME
BUKIT PANJANG GOVT. HIGH SCHOOL,ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS)
BUKIT PANJANG GOVT. HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (MALAY)
CATHOLIC HIGH SCHOOL,MUSIC ELECTIVE PROGRAMME
CATHOLIC HIGH SCHOOL,BICULTURAL STUDIES PROGRAMME
CATHOLIC JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (ENGLISH)
CEDAR GIRLS' SECONDARY SCHOOL,REGIONAL STUDIES PROGRAMME
CHIJ KATONG CONVENT,ENHANCED ART PROGRAMME
CHIJ SECONDARY (TOA PAYOH),ART ELECTIVE PROGRAMME
CHIJ ST. NICHOLAS GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME
CHIJ ST. NICHOLAS GIRLS' SCHOOL,BICULTURAL STUDIES PROGRAMME
CHUNG CHENG HIGH SCHOOL (MAIN),LANGUAGE ELECTIVE PROGRAMME (CHINESE)
CHUNG CHENG HIGH SCHOOL (MAIN),ENHANCED MUSIC PROGRAMME
COMMONWEALTH SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (TAMIL)
CRESCENT GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME
DUNMAN HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
DUNMAN HIGH SCHOOL,MUSIC ELECTIVE PROGRAMME
DUNMAN HIGH SCHOOL,BICULTURAL STUDIES PROGRAMME
EUNOIA JUNIOR COLLEGE,MUSIC ELECTIVE PROGRAMME
EUNOIA JUNIOR COLLEGE,BICULTURAL STUDIES PROGRAMME
HWA CHONG INSTITUTION,BICULTURAL STUDIES PROGRAMME
HWA CHONG INSTITUTION,ART ELECTIVE PROGRAMME
HWA CHONG INSTITUTION,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
JURONG PIONEER JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
JURONG PIONEER JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY)
JURONG WEST SECONDARY SCHOOL,ENHANCED ART PROGRAMME
MARIS STELLA HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
MERIDIAN SECONDARY SCHOOL,ENHANCED ART PROGRAMME
METHODIST GIRLS' SCHOOL (SECONDARY),MUSIC ELECTIVE PROGRAMME
NAN CHIAU HIGH SCHOOL,ENHANCED ART PROGRAMME
NAN CHIAU HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
NAN HUA HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
NANYANG GIRLS' HIGH SCHOOL,BICULTURAL STUDIES PROGRAMME
NANYANG GIRLS' HIGH SCHOOL,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
NANYANG GIRLS' HIGH SCHOOL,ART ELECTIVE PROGRAMME
NANYANG JUNIOR COLLEGE,ART ELECTIVE PROGRAMME
NANYANG JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
NATIONAL JUNIOR COLLEGE,ART ELECTIVE PROGRAMME
NATIONAL JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY)
NATIONAL JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (TAMIL)
NAVAL BASE SECONDARY SCHOOL,ENHANCED ART PROGRAMME
NEW TOWN SECONDARY SCHOOL,ENHANCED ART PROGRAMME
NGEE ANN SECONDARY SCHOOL,ENHANCED ART PROGRAMME
ORCHID PARK SECONDARY SCHOOL,ENHANCED ART PROGRAMME
RAFFLES GIRLS' SCHOOL (SECONDARY),REGIONAL STUDIES PROGRAMME
RAFFLES GIRLS' SCHOOL (SECONDARY),MUSIC ELECTIVE PROGRAMME
RAFFLES INSTITUTION,LANGUAGE ELECTIVE PROGRAMME (ENGLISH)
RAFFLES INSTITUTION,MUSIC ELECTIVE PROGRAMME
RAFFLES INSTITUTION,LANGUAGE ELECTIVE PROGRAMME (MALAY)
RAFFLES INSTITUTION,REGIONAL STUDIES PROGRAMME
RIVER VALLEY HIGH SCHOOL,BICULTURAL STUDIES PROGRAMME
RIVERSIDE SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (TAMIL)
SINGAPORE CHINESE GIRLS' SCHOOL,BICULTURAL STUDIES PROGRAMME
ST. ANDREW'S SECONDARY SCHOOL,ENHANCED ART PROGRAMME
ST. MARGARET'S SECONDARY SCHOOL,ENHANCED MUSIC PROGRAMME
TAMPINES MERIDIAN JUNIOR COLLEGE,DRAMA ELECTIVE PROGRAMME
TAMPINES MERIDIAN JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (MALAY)
TANJONG KATONG GIRLS' SCHOOL,MUSIC ELECTIVE PROGRAMME
TANJONG KATONG SECONDARY SCHOOL,ELECTIVE PROGRAMME IN MALAY LANGUAGE FOR SECONDARY SCHOOL (EMAS)
TANJONG KATONG SECONDARY SCHOOL,LANGUAGE ELECTIVE PROGRAMME (MALAY)
TEMASEK JUNIOR COLLEGE,LANGUAGE ELECTIVE PROGRAMME (CHINESE)
