school_name,CLUBS AND SOCIETIES,OTHERS,PHYSICAL SPORTS,UNIFORMED GROUPS,VISUAL AND PERFORMING ARTS
ADMIRALTY SECONDARY SCHOOL,ROBOTICS,,"BADMINTON, NETBALL, RUGBY, TRACK AND FIELD, WUSHU","NATIONAL POLICE CADET CORPS, NATIONAL CADET CORPS (LAND), NATIONAL CIVIL DEFENCE CADET CORPS","MODERN DANCE, ENGLISH DRAMA, CONCERT BAND, ART AND CRAFTS, DIGITAL MEDIA, GUZHENG ENSEMBLE"
AHMAD IBRAHIM SECONDARY SCHOOL,GREEN CLUB,,"FOOTBALL, TRACK AND FIELD, SHOOTING, BASKETBALL","GIRL GUIDES, NATIONAL POLICE CADET CORPS, ST JOHN BRIGADE, SCOUTS, NATIONAL CADET CORPS (LAND)","CHINESE ORCHESTRA, CHOIR, BAND - SYMPHONIC, DANCE - INTERNATIONAL, ENGLISH DRAMA"
ANDERSON SECONDARY SCHOOL,"INFOCOMM TECHNOLOGY (MEDIA PRODUCTION), BIOLOGICAL SCIENCE, ROBOTICS, ENVIRONMENTAL SCIENCE",STUDENT LEADERSHIP (COUNCIL),"BASKETBALL, NETBALL, FOOTBALL, TABLE TENNIS, WUSHU, VOLLEYBALL","GIRL GUIDES, NATIONAL POLICE CADET CORPS, NATIONAL CADET CORPS (LAND)","CHOIR, CHINESE DANCE, MALAY DANCE, ENGLISH DRAMA, CONCERT BAND, ART AND CRAFTS"
ANDERSON SERANGOON JUNIOR COLLEGE,"AUDIO VISUAL AID, DEBATING AND PUBLIC SPEAKING, SCIENCE SOCIETY, CHINESE LANGUAGE, DRAMA AND DEBATING, INDIAN LANGUAGE, DRAMA AND DEBATING, COMMUNITY SERVICE (FIRST AID), COMMUNITY SERVICE",,"SHOOTING, BADMINTON, BASKETBALL, HOCKEY, NETBALL, FOOTBALL, SQUASH, TABLE TENNIS, TENNIS, TAEKWONDO, VOLLEYBALL, FRISBEE, TOUCH RUGBY, OUTDOOR ADVENTURE, ROCKWALL CLIMBING",,"CHINESE ORCHESTRA, CHOIR, GUITAR ENSEMBLE, HARMONICA ENSEMBLE, ENGLISH DRAMA, PHOTOGRAPHY, VISUAL ARTS CLUB, MODERN DANCE, POP AND JAZZ, CONCERT BAND"
ANG MO KIO SECONDARY SCHOOL,"ENVIRONMENTAL SCIENCE, AUDIO VISUAL AID",,"BADMINTON, BASKETBALL, NETBALL, FOOTBALL, TABLE TENNIS, VOLLEYBALL","BOYS' BRIGADE, GIRL GUIDES, NATIONAL POLICE CADET CORPS, RED CROSS YOUTH, NATIONAL CADET CORPS (AIR)","MODERN DANCE, CHOIR, MALAY DANCE, ENGLISH DRAMA, CONCERT BAND, ART AND CRAFTS"
ANGLICAN HIGH SCHOOL,"DEBATING AND PUBLIC SPEAKING, ROBOTICS, INFOCOMM TECHNOLOGY (MEDIA PRODUCTION), ENTREPRENEURSHIP",,"BADMINTON, BASKETBALL, TABLE TENNIS, WUSHU","NATIONAL CADET CORPS (LAND), SCOUTS, BOYS' BRIGADE, GIRLS' BRIGADE, GIRL GUIDES, NATIONAL POLICE CADET CORPS, ST JOHN BRIGADE","CHINESE ORCHESTRA, CHOIR, GUITAR ENSEMBLE, MODERN DANCE, CHINESE DRAMA, ENGLISH DRAMA, CONCERT BAND"
ANGLO-CHINESE JUNIOR COLLEGE,"LIBRARY COUNCIL, DEBATING AND PUBLIC SPEAKING, COMMUNITY SERVICE (FIRST AID), COMMUNITY SERVICE (ROTARY-SPONSORED)",,"BADMINTON, BASKETBALL, CANOEING, CROSS COUNTRY, HOCKEY, NETBALL, RUGBY, FOOTBALL, SQUASH, SWIMMING, TRACK AND FIELD, TABLE TENNIS, TENNIS, WATER POLO, VOLLEYBALL, BOWLING, GOLF",BOYS' BRIGADE,"CHINESE ORCHESTRA, CHOIR, STRING ENSEMBLE, ART AND CRAFTS, PHOTOGRAPHY"
ANGLO-CHINESE SCHOOL (BARKER ROAD),"INFOCOMM TECHNOLOGY (MEDIA PRODUCTION), DEBATING AND PUBLIC SPEAKING, ROBOTICS, PUBLICATION",,"BADMINTON, BASKETBALL, HOCKEY, RUGBY, FOOTBALL, SWIMMING, TRACK AND FIELD, TABLE TENNIS, TENNIS, WATER POLO, FLOORBALL, BOWLING","BOYS' BRIGADE, NATIONAL POLICE CADET CORPS, SCOUTS, NATIONAL CADET CORPS (SEA)","CONCERT BAND, CHINESE ORCHESTRA, CHOIR, ENGLISH DRAMA, MODERN DANCE"
ASSUMPTION ENGLISH SCHOOL,,,"BASKETBALL, JUDO, FOOTBALL, SOFTBALL, FLOORBALL","RED CROSS YOUTH, GIRL GUIDES, NATIONAL POLICE CADET CORPS, NATIONAL CADET CORPS (SEA)","CHOIR, MODERN DANCE, CONCERT BAND"
ASSUMPTION PATHWAY SCHOOL,"ROBOTICS, AUDIO VISUAL AID",,"BASKETBALL, SEPAKTAKRAW, FOOTBALL, FLOORBALL, TCHOUKBALL",SCOUTS,"PERCUSSION ENSEMBLE, MODERN DANCE, MALAY DANCE, ART AND CRAFTS"
