,school_name,subject_desc
0,ADMIRALTY SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MUSIC, PHYSICAL EDUCATION"
1,AI TONG SCHOOL,"ART, CHINESE, ENGLISH LANGUAGE, FOUNDATION CHINESE, FOUNDATION ENGLISH LANGUAGE, HIGHER CHINESE, MATHEMATICS, MUSIC, PHYSICAL EDUCATION, SCIENCE, SOCIAL STUDIES"
2,ANDERSON SECONDARY SCHOOL,PHYSICAL EDUCATION
3,ANDERSON SERANGOON JUNIOR COLLEGE,"CHINESE B, H1 BIOLOGY, H1 CHEMISTRY, H1 CHINESE LANGUAGE, H1 ECONOMICS, H1 GENERAL PAPER, H1 HISTORY, H1 MALAY LANGUAGE, H1 PHYSICS, H1 PROJECT WORK, H1 TAMIL LANGUAGE, H2 ART, H2 BIOLOGY, H2 CHEMISTRY, H2 ECONOMICS, H2 HISTORY, H2 PHYSICS, H3 BIOLOGY, H3 CHEMISTRY, H3 PHYSICS, NTU MOLECULAR BIOLOGY, NTU SEMICONDUCTOR PHYSICS & DEVICES"
4,ANG MO KIO SECONDARY SCHOOL,"ART, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, PHYSICAL EDUCATION"
5,ANGLICAN HIGH SCHOOL,PHYSICAL EDUCATION
6,ANGLO-CHINESE JUNIOR COLLEGE,"H1 ART, H1 BIOLOGY, H1 CHEMISTRY, H1 CHINESE LANGUAGE, H1 ECONOMICS, H1 FRENCH LANGUAGE, H1 GENERAL PAPER, H1 GERMAN LANGUAGE, H1 HISTORY, H1 JAPANESE LANGUAGE, H1 MALAY LANGUAGE, H1 PHYSICS, H1 PROJECT WORK, H1 TAMIL LANGUAGE, H2 ART, H2 BIOLOGY, H2 CHEMISTRY, H2 COMPUTING, H2 ECONOMICS, H2 FRENCH LANGUAGE, H2 GERMAN LANGUAGE, H2 HISTORY, H2 JAPANESE LANGUAGE, H2 KNOWLEDGE & INQUIRY, H2 MUSIC, H2 PHYSICS"
7,ANGLO-CHINESE SCHOOL (BARKER ROAD),"ART, CHINESE B, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MALAY B, MUSIC, PHYSICAL EDUCATION, TAMIL B"
8,ANGLO-CHINESE SCHOOL (JUNIOR),"ART, CHINESE, ENGLISH LANGUAGE, HIGHER CHINESE, MALAY, MATHEMATICS, MUSIC, PHYSICAL EDUCATION, SCIENCE, SOCIAL STUDIES, TAMIL"
9,ANGLO-CHINESE SCHOOL (PRIMARY),"ART, CHINESE, ENGLISH LANGUAGE, FOUNDATION CHINESE, FOUNDATION ENGLISH LANGUAGE, FOUNDATION TAMIL, HIGHER CHINESE, HIGHER TAMIL, MALAY, MATHEMATICS, MUSIC, PHYSICAL EDUCATION, SCIENCE, SOCIAL STUDIES, TAMIL"
10,ASSUMPTION ENGLISH SCHOOL,"ART, CHINESE B, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MALAY B, MUSIC, PHYSICAL EDUCATION"
11,BARTLEY SECONDARY SCHOOL,"ART, CHINESE B, DESIGN & TECHNOLOGY, FOOD AND CONSUMER EDUCATION, MALAY B, MUSIC, PHYSICAL EDUCATION, TAMIL B"
